GID_0_AGO
GID_0_ARG
GID_0_BDI
GID_0_BEN
GID_0_BFA
GID_0_BGD
GID_0_BOL
GID_0_BRN
GID_0_BTN
GID_0_BWA
GID_0_CAF
GID_0_CIV
GID_0_CMR
GID_0_COD
GID_0_COG
GID_0_COL
GID_0_DJI
GID_0_DOM
GID_0_DZA
GID_0_ECU
GID_0_EGY
GID_0_ERI
GID_0_ETH
GID_0_FSM
GID_0_GAB
GID_0_GHA
GID_0_GIN
GID_0_GMB
GID_0_GNB
GID_0_GNQ
GID_0_GTM
GID_0_GUY
GID_0_HND
GID_0_HTI
GID_0_IDN
GID_0_IND
GID_0_IRQ
GID_0_JOR
GID_0_KEN
GID_0_KHM
GID_0_KOR
GID_0_LAO
GID_0_LBR
GID_0_LBY
GID_0_LKA
GID_0_LSO
GID_0_MAR
GID_0_MDG
GID_0_MEX
GID_0_MLI
GID_0_MMR
GID_0_MNG
GID_0_MOZ
GID_0_MRT
GID_0_MWI
GID_0_MYS
GID_0_NAM
GID_0_NER
GID_0_NGA
GID_0_NIC
GID_0_NPL
GID_0_PAK
GID_0_PAN
GID_0_PER
GID_0_PHL
GID_0_PNG
GID_0_PRY
GID_0_RWA
GID_0_SDN
GID_0_SEN
GID_0_SLB
GID_0_SLE
GID_0_SLV
GID_0_SOM
GID_0_SSD
GID_0_STP
GID_0_SUR
GID_0_SWZ
GID_0_TCD
GID_0_TGO
GID_0_THA
GID_0_TJK
GID_0_TLS
GID_0_TUN
GID_0_TZA
GID_0_UGA
GID_0_URY
GID_0_VNM
GID_0_VUT
GID_0_ZAF
GID_0_ZMB
GID_0_ZWE
