adm1,sum_pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,perc_2012,perc_2013,perc_2014,perc_2015,perc_2016,perc_2017,perc_2018,perc_2019,perc_2020
BOL.9,304415.4,104.4,82.9,133.5,169141.7,168772.0,159414.7,169635.3,161712.0,161077.3,167973.2,161085.3,168210.8,0.5556,0.5544,0.5237,0.5572,0.5312,0.5291,0.5518,0.5292,0.5526
BRN.1,34881.2,15.6,14.7,17.4,0.0,0.0,0.0,1889.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0542,0.0,0.0,0.0,0.0,0.0
BRN.2,165399.7,85.8,63.7,254.2,0.0,0.0,0.0,13503.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816,0.0,0.0,0.0,0.0,0.0
BRN.3,4895.9,12.0,11.4,14.3,0.0,0.0,0.0,1957.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3998,0.0,0.0,0.0,0.0,0.0
BRN.4,25524.4,25.2,19.1,30.3,0.0,0.0,0.0,5529.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166,0.0,0.0,0.0,0.0,0.0
BTN.1,12372.5,22.7,18.3,30.9,3148.7,2963.3,3214.3,2646.3,3268.4,3020.1,2564.6,3171.9,2520.2,0.2545,0.2395,0.2598,0.2139,0.2642,0.2441,0.2073,0.2564,0.2037
BTN.10,14513.6,91.5,46.4,149.4,4667.8,4757.8,4063.2,3992.6,3910.1,3837.9,3979.1,3821.3,3957.8,0.3216,0.3278,0.28,0.2751,0.2694,0.2644,0.2742,0.2633,0.2727
BTN.11,25748.2,54.7,49.9,57.0,7100.0,6874.1,6660.3,6440.0,6642.8,6540.9,6159.9,6821.8,6338.5,0.2757,0.267,0.2587,0.2501,0.258,0.254,0.2392,0.2649,0.2462
BTN.12,43475.8,148.8,98.9,231.6,7424.3,8056.5,7581.6,8383.1,9339.5,9254.5,8273.1,6927.5,8449.2,0.1708,0.1853,0.1744,0.1928,0.2148,0.2129,0.1903,0.1593,0.1943
BTN.13,28001.0,64.0,46.9,101.6,9566.4,9292.1,9257.6,9756.5,9649.1,9311.6,9853.7,9191.4,9882.8,0.3416,0.3318,0.3306,0.3484,0.3446,0.3325,0.3519,0.3283,0.3529
BTN.14,73279.7,79.4,25.2,316.4,41255.3,41352.4,38633.8,39543.0,39254.5,38106.9,40104.8,42518.6,40250.1,0.563,0.5643,0.5272,0.5396,0.5357,0.52,0.5473,0.5802,0.5493
BTN.15,36481.5,71.2,49.2,109.4,7449.1,7249.6,7855.1,8122.8,7686.2,7559.0,7378.6,8672.6,7394.8,0.2042,0.1987,0.2153,0.2227,0.2107,0.2072,0.2023,0.2377,0.2027
BTN.16,9843.9,52.9,45.1,67.7,2588.9,2850.7,2632.6,2958.8,2733.0,2840.0,3153.9,2913.3,2700.6,0.263,0.2896,0.2674,0.3006,0.2776,0.2885,0.3204,0.2959,0.2743
BTN.17,14176.8,54.8,35.5,91.1,1524.3,1542.1,1676.9,2601.3,2546.1,2356.0,2437.2,2741.3,2949.9,0.1075,0.1088,0.1183,0.1835,0.1796,0.1662,0.1719,0.1934,0.2081
BTN.18,27252.6,122.5,86.1,186.9,8572.3,8526.5,7350.0,8691.4,7585.9,7155.1,8725.9,7217.0,8207.5,0.3145,0.3129,0.2697,0.3189,0.2784,0.2625,0.3202,0.2648,0.3012
BTN.19,12355.1,29.9,25.1,42.5,1820.6,2142.2,2344.5,2292.1,1942.1,1984.3,2003.7,2550.4,2084.4,0.1474,0.1734,0.1898,0.1855,0.1572,0.1606,0.1622,0.2064,0.1687
BTN.2,56298.1,148.7,85.3,505.2,20245.9,20902.4,19335.0,20401.5,18921.1,18778.6,20221.1,18321.5,20531.8,0.3596,0.3713,0.3434,0.3624,0.3361,0.3336,0.3592,0.3254,0.3647
BTN.20,13801.4,47.4,37.8,57.7,2105.9,1829.1,1874.2,1711.7,1850.7,2080.1,2084.9,2184.8,2458.4,0.1526,0.1325,0.1358,0.124,0.1341,0.1507,0.1511,0.1583,0.1781
BTN.3,14154.5,85.3,71.9,299.6,2685.7,2704.0,2751.6,2793.7,2661.3,2724.7,2730.1,2109.9,2840.1,0.1897,0.191,0.1944,0.1974,0.188,0.1925,0.1929,0.1491,0.2006
BTN.4,1968.6,29.6,20.9,36.9,0.0,203.6,143.5,130.2,256.6,142.3,167.4,281.8,337.8,0.0,0.1034,0.0729,0.0661,0.1303,0.0723,0.085,0.1431,0.1716
BTN.5,8891.9,48.5,19.3,71.7,2720.3,3152.8,2635.1,2916.0,2649.0,2559.1,2564.9,2373.4,2523.8,0.3059,0.3546,0.2963,0.3279,0.2979,0.2878,0.2885,0.2669,0.2838
BTN.6,10625.1,58.1,48.3,66.6,1325.0,1266.8,1656.3,1401.9,1270.9,1119.5,1255.4,1334.3,999.1,0.1247,0.1192,0.1559,0.1319,0.1196,0.1054,0.1182,0.1256,0.094
BTN.7,28724.0,76.0,62.2,98.7,4985.1,4725.7,4483.0,6111.0,4756.7,4845.8,5482.7,5024.9,5033.6,0.1736,0.1645,0.1561,0.2127,0.1656,0.1687,0.1909,0.1749,0.1752
BTN.8,25544.2,42.7,32.3,83.2,13237.9,13395.9,11688.4,13613.6,11873.2,11586.2,14010.3,12393.9,13886.1,0.5182,0.5244,0.4576,0.5329,0.4648,0.4536,0.5485,0.4852,0.5436
BTN.9,16033.5,49.4,43.5,64.9,2959.4,2820.3,3221.4,2393.1,2504.4,2657.9,2449.8,3034.5,2527.9,0.1846,0.1759,0.2009,0.1493,0.1562,0.1658,0.1528,0.1893,0.1577
BWA.1,380514.9,7.9,4.3,83.7,148901.4,152237.5,148454.2,152440.6,155307.1,155598.8,159756.8,166650.5,165534.1,0.3913,0.4001,0.3901,0.4006,0.4081,0.4089,0.4198,0.438,0.435
BWA.10,39036.0,6.8,5.2,9.0,33978.4,33978.4,32832.7,33296.5,32832.7,32832.7,33296.5,33167.4,33296.5,0.8704,0.8704,0.8411,0.853,0.8411,0.8411,0.853,0.8497,0.853
BWA.11,41907.8,0.9,0.8,4.4,20515.2,21271.6,20576.1,21389.0,21815.8,21913.5,22762.6,23507.9,23641.0,0.4895,0.5076,0.491,0.5104,0.5206,0.5229,0.5432,0.5609,0.5641
BWA.12,99878.9,2.9,2.2,3.4,32869.6,33206.2,32998.9,36747.1,35838.8,36216.8,36570.8,37007.4,37220.3,0.3291,0.3325,0.3304,0.3679,0.3588,0.3626,0.3662,0.3705,0.3727
BWA.13,30467.2,4.2,0.9,5.8,25212.4,25195.1,25514.4,24642.3,25531.7,25514.4,24642.3,25288.3,24642.3,0.8275,0.827,0.8374,0.8088,0.838,0.8374,0.8088,0.83,0.8088
BWA.14,85885.4,2.5,0.4,9.0,49414.9,49546.6,47048.7,49749.8,47881.8,48187.6,50702.7,51385.2,51994.5,0.5754,0.5769,0.5478,0.5793,0.5575,0.5611,0.5904,0.5983,0.6054
BWA.15,141715.8,6.6,3.1,58.4,47074.8,47200.9,47470.1,47734.5,53877.2,55211.2,53925.4,57664.1,55059.2,0.3322,0.3331,0.335,0.3368,0.3802,0.3896,0.3805,0.4069,0.3885
BWA.16,1154.8,1.6,1.6,1.6,990.8,990.8,990.8,973.4,990.8,990.8,973.4,992.3,973.4,0.858,0.858,0.858,0.8429,0.858,0.858,0.8429,0.8593,0.8429
