adm0,pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,hrea_2012,hrea_2013,hrea_2014,hrea_2015,hrea_2016,hrea_2017,hrea_2018,hrea_2019,hrea_2020
GHA.6,1569284.6,740.6,581.2,812.3,813636.7,822322.3,776595.8,755840.4,838739.3,845406.0,864771.0,879447.2,898260.5,0.5185,0.524,0.4949,0.4816,0.5345,0.5387,0.5511,0.5604,0.5724
GHA.7,2529024.1,292.3,206.2,422.8,2207832.7,2211518.1,2184463.3,2186662.8,2190688.9,2191424.1,2193842.9,2198383.7,2195477.0,0.873,0.8745,0.8638,0.8646,0.8662,0.8665,0.8675,0.8693,0.8681
GHA.8,295256.4,294.7,250.6,318.7,80596.8,77736.5,68048.5,74740.3,93939.3,100975.3,102190.4,115287.0,123207.3,0.273,0.2633,0.2305,0.2531,0.3182,0.342,0.3461,0.3905,0.4173
GHA.9,952565.7,1583.7,1451.4,1682.7,381102.5,404607.3,371834.0,381409.0,426579.7,440553.8,439638.4,439040.4,470864.0,0.4001,0.4248,0.3903,0.4004,0.4478,0.4625,0.4615,0.4609,0.4943
GIN,7023311.7,874.1,688.2,1191.7,2050569.5,2118640.5,2022672.8,2130925.2,2324267.6,2275906.5,2148219.2,2073286.8,2090502.3,0.292,0.3017,0.288,0.3034,0.3309,0.3241,0.3059,0.2952,0.2977
GMB,1107198.8,445.1,340.5,579.5,331064.8,332639.8,329678.7,341847.9,325956.4,327213.0,375454.8,342337.0,435212.3,0.299,0.3004,0.2978,0.3088,0.2944,0.2955,0.3391,0.3092,0.3931
GNB,1038384.7,1427.3,1301.4,1530.2,190882.6,191544.0,145802.3,215073.5,194522.5,179325.4,216560.8,213310.5,201648.6,0.1838,0.1845,0.1404,0.2071,0.1873,0.1727,0.2086,0.2054,0.1942
GNQ,460628.4,2882.4,2860.0,2898.1,168911.4,173007.1,172277.4,173768.7,170840.3,171537.2,232283.3,0.0,98167.9,0.3667,0.3756,0.374,0.3772,0.3709,0.3724,0.5043,0.0,0.2131
GTM,9282145.8,1880.7,1094.9,2927.6,4500408.1,4591577.7,4410468.7,4422197.3,4402881.0,4431882.5,4390627.5,4372743.6,4293304.5,0.4848,0.4947,0.4752,0.4764,0.4743,0.4775,0.473,0.4711,0.4625
GUY,425745.7,3600.4,3312.5,3933.3,272062.1,269591.7,257682.1,252585.0,254594.6,254963.5,253948.1,256481.3,257377.2,0.639,0.6332,0.6052,0.5933,0.598,0.5989,0.5965,0.6024,0.6045
HND,4570843.4,2676.2,1511.5,12261.2,2212192.9,2218351.0,2144766.5,2145865.6,2168123.1,2182137.1,2155507.5,2147969.1,2143923.9,0.484,0.4853,0.4692,0.4695,0.4743,0.4774,0.4716,0.4699,0.469
HTI,6168763.3,870.8,469.5,1897.4,1445355.4,1512161.9,1481580.5,1447115.1,1397221.8,1430634.2,1443582.1,1381671.5,1357499.4,0.2343,0.2451,0.2402,0.2346,0.2265,0.2319,0.234,0.224,0.2201
IDN,141696752.0,49673.1,46594.4,53945.0,93735614.5,94893524.0,92686073.1,89049272.1,91168460.3,91181420.1,91997677.8,92091128.7,92389249.7,0.6615,0.6697,0.6541,0.6284,0.6434,0.6435,0.6493,0.6499,0.652
IND,773215479.4,36183.2,24599.1,64204.3,403390188.4,407569187.4,390250134.4,394703414.2,405794607.6,404457555.8,409205745.9,412112282.0,406903212.5,0.5217,0.5271,0.5047,0.5105,0.5248,0.5231,0.5292,0.533,0.5262
IRQ,24017013.8,1086.5,467.4,1956.1,14428282.5,14528233.1,13717205.9,12961820.0,13138479.6,13376320.1,13624902.8,13906604.2,13894466.8,0.6008,0.6049,0.5711,0.5397,0.547,0.557,0.5673,0.579,0.5785
JOR,4917445.5,376.4,177.0,624.0,3193528.1,3192544.2,3083484.8,3008983.6,3083078.3,3082750.1,3009128.7,3080270.6,3012874.3,0.6494,0.6492,0.6271,0.6119,0.627,0.6269,0.6119,0.6264,0.6127
KEN,25263005.8,14928.2,8036.6,54985.0,5130192.0,5172854.4,5038963.5,5108436.5,5657548.1,5943170.2,6178936.6,6537842.4,6663965.8,0.2031,0.2048,0.1995,0.2022,0.2239,0.2353,0.2446,0.2588,0.2638
KHM,8730046.9,2193.7,1220.0,7380.3,1966198.6,1968007.0,2055361.4,2121927.0,2245496.1,2314821.7,2415322.8,2697121.9,2856209.8,0.2252,0.2254,0.2354,0.2431,0.2572,0.2652,0.2767,0.3089,0.3272
KOR,34360554.3,4434.3,3147.8,6020.3,25904929.7,25914043.2,25019188.1,25068419.7,25009143.0,25020992.8,25076184.3,25106993.8,25093778.8,0.7539,0.7542,0.7281,0.7296,0.7278,0.7282,0.7298,0.7307,0.7303
LAO,3680864.2,2003.8,605.7,64536.5,1006240.4,1016728.3,976228.8,974631.5,980853.7,984406.7,980888.4,985675.8,985052.1,0.2734,0.2762,0.2652,0.2648,0.2665,0.2674,0.2665,0.2678,0.2676
